Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ISA_E,ISA_E_pred,Erro
2018,12,0.0013710569694132264,0.0013839951001526445,0.0012772558999795515,-0.0005839084855985191,90.1,92.65667985862082,0.3524805192733237
2019,1,0.0013666221875455456,0.001398635523545341,0.001339286650505173,-0.0007119034850539456,90.2,89.65118285437553,0.5862736323389803
2019,2,0.001366749151594887,0.0014370974145509255,0.0013343644835552958,-0.0006266534704090488,91.2,90.25786260067939,0.36463452104152366
2019,3,0.0015441549433466146,0.001666595891440811,0.00150358644622792,-0.00061658141463925,90.3,88.73965809957366,1.4338620130624198
2019,4,0.0014116800324380984,0.0016232680721713303,0.0013608442502553559,-0.00034031106660804974,90.8,90.33529227827292,0.5109236105721741
2019,5,0.00136163222651715,0.001479634694581584,0.0013033289616280314,-0.0004681168781162312,90.1,86.52481771199436,1.0821661141670704
2019,6,0.001438459691943801,0.0015681902928175967,0.0014018636492924444,-0.0005476806615394779,90.4,86.47450871691126,0.4509848695509983
2019,7,0.00140295679296246,0.0015785193237018388,0.0013703989248922545,-0.0004491066311691307,90.5,91.09800848989097,0.3837277708693502
2019,8,0.0014591331757514104,0.0015440845527280721,0.0013883396509658688,-0.0005594103653124656,91.5,89.42912566847102,0.5837959243121097
2019,9,0.001482557189638058,0.001527889943333137,0.0015215852910299343,-0.0009246428578692254,91.4,88.78927591645365,0.591756677674267
2019,10,0.0015189750131783801,0.0015496066729832189,0.0014857648771022447,-0.000793551316846731,92.5,86.85542982947656,2.0158461350956407
2019,11,0.001419821560008487,0.0015328782358888233,0.0013581262498991733,-0.0005047912255152696,92.2,89.70711972306307,0.5725994755544779
2019,12,0.0013569418803231362,0.0013877960247527133,0.0013131577251714562,-0.0006668440889269093,93.6,91.76499709388604,0.6581035409477818
2020,1,0.0014446051845349388,0.0014874847215215804,0.0013556361662504569,-0.0005845678583394255,93.0,92.4836208352946,0.13455058350779522
2020,2,0.0013754516587765188,0.0014015629994215944,0.0013448234044389862,-0.0007202565891705596,92.5,88.17957803441844,0.7798041052755951
2020,3,0.0012747194913767927,0.0012539982919966327,0.001326414542431872,-0.000953697773433073,91.8,93.29934483130089,0.3703245637425087
2020,4,0.001384601849734286,0.0014512248087390747,0.0014903720862901569,-0.0009915692053731793,61.5,67.9957547252846,1.1873408477706218
2020,5,0.0014136718914373467,0.0014868277101942218,0.001500555109246286,-0.0009496621917141713,64.0,68.15731365830358,0.48144915414410405
2020,6,0.0013518029933779743,0.0013825324440854454,0.0013962875786419071,-0.0008855342863011825,72.6,76.13779763367891,0.9122095206737683
2020,7,0.001341726051740729,0.001340849821188229,0.001370261338017965,-0.0008991857192047622,79.6,79.67946904532893,0.4848098858337347
2020,8,0.001378220942048608,0.0014281654678720574,0.0013200255297803676,-0.0006075801141138699,88.6,91.3770893343341,0.3549898411276995
2020,9,0.0014273736439482263,0.0015067288223922395,0.001437057244180516,-0.0007525215530201942,92.9,93.0579273842762,0.4478279032070174
2020,10,0.001422799199797262,0.0014190583246224463,0.0013239402611039679,-0.000634668462967362,96.5,95.93411713099388,0.15739744653369295
2020,11,0.0014586043030299929,0.0014479951979393944,0.0013828158772746016,-0.0007276476124908094,98.2,92.50755281277968,0.5990319922206057
2020,12,0.0013673049996371738,0.0013811861381137433,0.0012731671217862354,-0.0005789662220251107,98.0,93.83203248174235,0.7633646204858239
2021,1,0.012238922373205117,0.01224243245186137,0.012247479263237177,-0.0062651859325774896,95.3,93.13568022569488,0.11231497264925436
2021,2,0.006510025086068866,0.00673216205769807,0.0064858833033432225,-0.00346553016069204,93.4,91.62595383484195,0.07433673381162981
2021,3,0.006998326684374888,0.007269109321011957,0.007009843482432824,-0.0037592044284938766,,90.95083529620861,0.29430866796044447
2021,4,0.00669925063309241,0.006854646442357876,0.006861957964564627,-0.004198162300354087,,90.99766506254511,0.21379225952620695
2021,5,0.007938686300989465,0.008589616530271326,0.008683886963801127,-0.00548157187250762,,90.6333596006065,0.1077591906064454
